intent,precision,recall,f1,support
account_authentication,0.15789473684210525,0.75,0.2608695652173913,4.0
billing_payment,0.7096774193548387,0.8461538461538461,0.7719298245614035,26.0
general_support,0.9024390243902439,0.5068493150684932,0.6491228070175439,73.0
internet_connectivity,0.6666666666666666,0.9655172413793104,0.7887323943661971,29.0
order_equipment,0.95,0.95,0.95,20.0
plan_upgrade,0.9090909090909091,1.0,0.9523809523809523,20.0
service_outage,1.0,0.8928571428571429,0.9433962264150944,28.0
macro avg,0.7565383937635376,0.8444825064941134,0.7594902528512261,200.0
weighted avg,0.8473819607311677,0.77,0.7791778571780408,200.0
